n,k,pzl
4,1,9 10 12 8 1 2 3 4 6 5 7 11 13 14 15 16 13 5 1 14 6 8 7 9 2 3 15 16 10 4 11 12 3 6 7 16 5 13 11 15 4 12 10 14 2 1 8 9 11 4 15 2 10 14 16 12 9 1 8 13 3 5 7 6 2 3 4 5 13 11 1 16 7 6 9 8 14 15 12 10 1 7 6 9 3 12 15 2 10 11 14 4 5 13 16 8 8 12 10 13 9 7 14 5 3 15 16 1 11 2 6 4 14 11 16 15 4 10 8 6 12 2 13 5 7 9 1 3 4 1 0 3 7 15 5 10 8 14 6 9 16 12 13 11 6 8 13 7 2 4 12 1 5 16 11 15 9 3 10 14 10 9 14 12 8 16 13 11 1 7 4 3 15 6 5 2 15 16 5 11 14 6 9 3 13 10 12 2 8 7 4 1 7 13 11 1 15 9 4 14 16 8 2 6 12 10 3 5 5 15 9 10 16 1 2 7 11 4 3 12 6 8 14 13 16 14 8 4 12 3 6 13 15 9 5 10 1 11 2 7 12 2 3 6 11 5 10 8 14 13 1 7 4 16 9 15
4,1,1 2 12 3 4 5 6 8 9 7 10 13 14 11 16 15 14 11 4 13 1 2 3 9 6 5 15 16 8 7 10 12 10 8 9 7 11 13 15 16 1 2 14 12 3 5 4 6 5 6 16 15 7 10 0 14 3 4 11 8 1 9 13 2 2 1 7 4 6 3 14 5 10 8 13 9 12 15 11 16 3 5 6 8 2 12 13 4 11 15 16 7 10 1 9 14 11 10 14 12 9 8 16 15 4 1 2 5 6 13 3 7 9 13 15 16 10 1 11 7 12 6 3 14 2 8 5 4 4 3 5 6 8 9 10 13 2 14 12 1 15 16 7 11 8 12 1 10 15 16 2 11 7 13 4 3 9 14 6 5 16 9 2 11 14 4 7 1 5 10 6 15 13 12 8 3 7 15 13 14 3 6 5 12 8 16 9 11 4 10 2 1 6 7 8 1 13 14 9 3 16 12 5 2 11 4 15 10 12 16 10 2 5 15 1 6 13 11 8 4 7 3 14 9 15 4 11 9 16 7 8 2 14 3 1 10 5 6 12 13 13 14 3 5 12 11 4 10 15 9 7 6 16 2 1 8
4,1,14 2 8 4 1 3 5 6 7 9 11 10 15 12 13 16 3 1 9 7 2 8 4 10 15 12 13 16 5 6 11 14 0 13 12 15 9 7 14 16 2 1 5 6 3 8 4 10 10 16 5 6 12 11 13 15 3 4 14 8 1 2 9 7 2 3 6 5 14 4 12 1 8 7 9 11 10 15 16 13 1 4 11 8 7 9 10 5 14 13 16 15 2 3 12 6 7 9 13 16 11 15 3 2 4 10 6 12 8 5 14 1 12 10 15 14 13 16 6 8 5 3 1 2 4 9 7 11 5 6 1 2 3 10 8 9 13 14 7 4 16 11 15 12 4 7 14 9 15 12 16 11 1 2 8 5 6 13 10 3 15 11 3 12 4 1 2 13 6 16 10 9 7 14 5 8 13 8 16 10 5 6 7 14 12 11 15 3 9 1 2 4 6 5 4 1 8 13 9 7 16 15 12 14 11 10 3 2 9 12 7 13 10 2 15 3 11 8 4 1 14 16 6 5 8 14 10 3 16 5 11 12 9 6 2 7 13 4 1 15 16 15 2 11 6 14 1 4 10 5 3 13 12 7 8 9
4,1,15 16 5 2 1 3 4 8 7 6 9 11 10 12 13 14 0 4 10 8 6 2 5 9 1 12 13 14 3 15 11 16 13 6 14 9 7 10 11 12 2 3 16 15 1 8 4 5 11 1 12 3 13 16 14 15 4 5 10 8 2 6 7 9 2 3 4 5 12 15 1 7 8 9 6 13 11 14 16 10 1 7 8 10 2 14 9 6 3 11 4 16 5 13 15 12 6 11 13 16 5 4 10 3 15 1 14 12 8 2 9 7 9 12 15 14 8 11 16 13 5 10 2 7 4 3 1 6 3 2 1 7 9 8 12 10 14 4 15 5 13 16 6 11 4 5 6 11 14 7 15 16 13 8 3 10 12 9 2 1 10 14 9 12 3 13 2 4 6 16 11 1 15 7 5 8 8 13 16 15 11 1 6 5 12 2 7 9 14 10 3 4 5 8 2 1 15 9 3 11 16 14 12 6 7 4 10 13 12 9 3 4 16 5 7 14 10 13 1 2 6 11 8 15 16 10 7 6 4 12 13 1 11 15 8 3 9 5 14 2 14 15 11 13 10 6 8 2 9 7 5 4 16 1 12 3
4,1,8 11 9 4 1 3 2 5 6 7 10 13 12 16 14 15 1 16 2 10 4 7 6 8 3 12 14 15 9 11 5 13 5 6 15 7 10 12 14 13 2 11 16 9 1 3 8 4 13 3 12 14 11 9 15 16 4 1 5 8 2 7 6 10 2 1 4 5 14 15 16 3 7 6 8 10 13 9 12 11 3 7 6 8 12 2 11 10 9 5 13 4 14 1 15 16 10 12 11 13 9 6 4 7 14 16 15 1 8 2 3 5 9 14 16 15 5 8 13 1 11 3 12 2 4 10 7 6 4 5 7 6 8 10 9 11 1 13 2 3 15 12 16 14 12 2 1 16 13 4 7 15 5 9 11 14 6 8 10 3 14 15 10 3 2 16 5 6 8 4 7 12 11 13 9 1 11 8 13 9 3 1 12 14 15 10 6 16 7 5 4 2 6 10 3 2 16 14 8 12 13 0 1 7 5 4 11 9 7 4 8 11 15 13 1 9 10 14 3 5 16 6 2 12 16 9 14 1 6 5 10 2 12 8 4 11 3 15 13 7 15 13 5 12 7 11 3 4 16 2 9 6 10 14 1 8
4,1,12 8 13 1 2 3 4 5 6 7 9 10 11 14 15 16 3 14 7 4 1 6 8 9 5 11 15 16 2 10 12 13 2 16 11 9 10 7 12 15 1 3 13 14 4 5 8 6 5 6 10 15 11 14 13 16 4 2 8 12 1 3 7 9 1 2 4 5 12 13 6 3 7 10 11 8 15 9 16 14 6 3 8 10 7 9 11 4 12 14 16 15 5 1 13 2 7 9 15 16 5 8 1 14 13 4 2 3 10 12 6 11 11 12 14 13 15 10 16 2 9 1 5 6 3 8 4 7 4 5 3 6 8 11 7 10 2 9 12 1 16 13 14 15 9 1 2 11 16 5 15 6 3 8 14 13 12 7 10 4 8 13 16 14 3 4 2 12 10 15 6 7 9 11 5 1 10 15 12 7 9 1 14 13 11 16 4 5 8 6 2 3 0 4 5 3 6 15 9 8 16 12 7 11 13 2 1 10 13 7 1 12 4 16 3 11 8 6 10 2 14 15 9 5 16 10 6 2 14 12 5 1 15 13 3 9 7 4 11 8 15 11 9 8 13 2 10 7 14 5 1 4 6 16 3 12
4,1,2 14 12 8 1 3 4 5 6 7 9 10 11 13 16 15 13 5 4 7 2 6 8 9 1 15 16 11 3 12 10 14 3 16 1 9 12 10 11 15 5 13 2 14 4 7 6 8 15 10 6 11 13 7 16 14 3 4 8 12 1 2 5 9 1 2 7 4 10 5 12 3 8 9 6 13 14 16 15 11 5 3 8 10 7 15 2 4 14 16 11 1 9 6 12 13 6 9 13 16 11 1 14 8 7 12 15 2 5 3 4 10 11 12 14 15 6 9 13 16 10 3 4 5 2 8 1 7 4 1 2 5 9 11 7 10 12 8 14 3 16 15 13 6 7 6 3 0 14 16 1 2 4 10 13 15 8 11 9 5 8 15 9 13 3 4 5 12 11 6 7 16 10 1 14 2 10 11 16 14 8 13 15 6 2 1 5 9 7 4 3 12 9 4 5 1 15 12 3 7 13 11 10 8 6 14 2 16 12 7 15 6 5 2 9 11 16 14 1 4 13 10 8 3 14 13 11 2 16 8 10 1 15 5 3 6 12 9 7 4 16 8 10 3 4 14 6 13 9 2 12 7 15 5 11 1
4,1,2 12 1 9 4 3 5 6 7 10 8 13 11 15 14 16 10 16 3 5 1 2 8 7 6 11 14 15 4 12 9 13 13 8 15 6 9 11 10 14 2 4 16 12 5 1 7 3 4 11 14 7 12 13 16 15 3 1 0 5 2 8 6 10 3 4 5 8 6 10 2 1 9 7 11 14 13 16 15 12 1 2 6 10 8 9 15 11 5 12 13 16 7 3 4 14 9 13 16 14 5 12 7 4 8 15 1 3 6 2 10 11 7 15 11 12 3 14 13 16 10 2 4 6 9 5 1 8 6 1 2 4 7 8 14 12 16 5 3 11 15 10 13 9 5 3 12 11 10 16 9 13 1 8 15 7 14 4 2 6 8 14 9 16 11 15 6 5 4 13 2 10 12 7 3 1 15 7 10 13 2 1 4 3 14 6 12 9 16 11 8 5 11 5 7 2 13 6 3 9 15 16 10 8 1 14 12 4 12 6 8 3 15 4 11 2 13 14 5 1 10 9 16 7 14 9 13 15 16 5 1 10 12 3 7 4 8 6 11 2 16 10 4 1 14 7 12 8 11 9 6 2 3 13 5 15
4,1,13 10 6 1 2 3 4 5 7 8 9 11 12 14 15 16 3 5 15 9 1 6 8 7 2 12 14 16 4 11 13 10 14 11 8 16 9 12 10 13 1 3 4 15 2 5 7 6 7 4 2 12 11 16 14 15 6 5 10 13 1 3 8 9 1 2 3 4 6 15 9 8 11 10 5 7 13 12 16 14 5 6 7 8 13 14 12 1 3 16 2 4 9 15 10 11 9 16 10 11 4 5 7 2 13 14 15 12 3 6 1 8 12 13 14 15 3 10 11 16 8 6 1 9 5 4 2 7 2 1 4 5 7 11 6 10 0 9 16 8 15 13 14 3 8 3 9 13 5 1 15 12 4 7 6 14 10 16 11 2 6 15 12 14 8 2 16 3 10 11 13 1 7 9 5 4 11 7 16 10 14 4 13 9 5 15 3 2 6 8 12 1 4 8 1 2 12 9 5 11 16 13 7 3 14 10 6 15 10 9 11 6 15 8 1 4 14 2 12 5 16 7 3 13 15 14 5 7 16 13 3 6 9 1 8 10 11 2 4 12 16 12 13 3 10 7 2 14 15 4 11 6 8 1 9 5
4,1,15 13 3 7 2 1 4 5 6 8 9 10 11 14 12 16 1 10 2 5 3 6 7 8 11 12 14 16 4 15 9 13 14 8 6 12 9 10 11 16 1 4 15 13 2 3 5 7 11 16 4 9 13 12 14 15 2 3 5 7 8 1 10 6 3 4 5 6 1 2 10 14 7 9 12 8 15 16 13 11 2 1 8 10 7 16 9 6 5 15 13 11 12 4 3 14 7 9 12 13 4 15 8 11 14 16 1 3 10 2 6 5 16 11 14 15 12 13 5 3 10 2 6 4 9 7 1 8 4 5 1 11 14 9 12 13 3 10 7 2 16 6 8 15 8 2 7 14 5 3 15 10 9 1 16 6 13 11 4 12 6 15 13 3 8 7 0 1 4 5 11 12 14 10 2 9 9 12 10 16 6 11 2 4 13 14 8 15 3 5 7 1 5 3 15 1 10 8 6 12 16 13 4 14 7 9 11 2 12 6 9 2 16 4 13 7 15 11 3 5 1 8 14 10 10 14 16 8 11 5 3 9 12 7 2 1 6 13 15 4 13 7 11 4 15 14 1 2 8 6 10 9 5 12 16 3
